,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Dat e  R ec 'd,,C om pany,,C i t y   ( C ount y ),,#   A ffec t ed,,L ay off  Dat e( s ),,P hone  N um ber,,Uni on,,WA R N   I D,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,1 2 / 2 6 / 1 3,,"At o s  IT   So lut io ns  and 
,4 / 2 / 1 2,,"Graphic   P ac k aging 
Int 'l.  and  Graphic  
Fle x ible   P ac k aging,  L L C",,"T w insburg 
( Sum m it )",,1 7 5,,"Be ginning 
0 6 / 0 2 / 2 0 1 2",,( 9 1 0 )   3 7 4 -4 6 2 4,,N/ A,,0 0 2 -1 1 -0 5 3,
,4 / 2 / 1 2,,"Unio n  Cit y   No n-
Fe rro us,  Inc .",,"Unio n  Cit y
( D ark e )",,2 9,,6 / 1 6 / 2 0 1 2,,"( 7 2 4 )   2 2 2 -7 0 0 6  
e x t .  1 3 6",,USW   L o c al  7 2 5 T,,0 0 7 -1 1 -0 5 2,
,4 / 2 / 1 2,,"M arble   and  Granit e  
W o rk s,  L L C",,"Cle v e land 
( Cuy aho ga)",,3 5,,5 / 3 1 / 2 0 1 2,,( 7 0 4 )   7 5 8 -2 6 6 8,,N/ A,,0 0 3 -1 1 -0 5 1,
,3 / 2 7 / 1 2,,"T he   Ande rso n-D uBo se  
Co .",,"So lo n
( Cuy aho ga)",,2 0,,0 6 / 0 8 / 2 0 1 2,,( 4 4 0 )   5 4 2 -3 4 0 6,,"Nat io nal  P ro duc t io n 
W o rk e rs  L o c al  7 0 7",,0 0 3 -1 1 -0 5 0,
,3 / 2 6 / 1 2,,"Apple t o n  P ape rs,  Inc .",,"W e st   Carro llt o n 
( M o nt go m e ry )",,3 3 0,,"Be ginning 
0 5 / 2 0 / 2 0 1 2",,( 9 3 7 )   8 4 7 -7 2 3 5,,"Unit e d  St e e lw o rk e rs 
L o c al  2 6 6",,0 0 7 -1 1 -0 4 9,
,3 / 2 2 / 1 2,,"W o rt hingt o n  M e t al 
Fabric at o rs,  L L C",,"Ak ro n
( Sum m it )",,6 5,,0 5 / 2 0 / 2 0 1 2,,( 6 1 4 )   8 4 0 -3 6 0 2,,N/ A,,0 0 2 -1 1 -0 4 8,
,3 / 1 9 / 1 2,,"Graham   P ac k aging  Co . 
( D e lt a  P lant )",,"D e lt a
( Fult o n)",,6 5,,"0 7 / 0 1 / 2 0 1 2  
t hro ugh 
0 9 / 3 0 / 2 0 1 2",,( 4 1 9 )   4 2 1 -8 0 2 8,,N/ A,,0 0 7 -1 1 -0 4 6,
,3 / 7 / 1 2,,"AISS  ( St e rling 
Info sy st e m s)",,"Fairlaw n
( Sum m it )",,3 5,,3 / 6 / 2 0 1 2,,( 6 4 6 )   4 8 5 -6 6 3 5,,N/ A,,0 0 2 -1 1 -0 4 5,
,3 / 7 / 1 2,,"AISS  ( St e rling 
Info sy st e m s)",,"Inde pe nde nc e  
( Cuy aho ga)",,3 8,,3 / 6 / 2 0 1 2,,( 6 4 6 )   4 8 5 -6 6 3 5,,N/ A,,0 0 3 -1 1 -0 4 4,
,3 / 5 / 1 2,,"AM G  D ire c t   L L C 
( D e lia's  Inc .)",,"W e st e rv ille  
( Frank lin)",,7 9,,"4 / 3 0 / 2 0 1 2
0 4 / 2 4 / 2 0 1 2",,( 4 0 1 )   4 5 7 -9 4 0 2,,N/ A,,0 1 1 -1 1 -0 4 3,
,2 / 2 8 / 1 2,,"W UP W   Bro adc ast ing 
St at io n",,"T o le do
( L uc as)",,6 3,,"t hro ugh 
0 5 / 0 8 / 2 0 1 2",,( 4 0 1 )   4 5 7 -9 4 0 2,,N/ A,,0 0 9 -1 1 -0 4 2,
,2 / 2 7 / 1 2,,"D iv e rsifie d  M ac hine  
Inc .( D M I  E do n)",,"E do n
( W illiam s)",,7 3,,4 / 2 7 / 2 0 1 2,,( 4 1 9 )   2 7 2 -5 3 2 6,,Unit e d  E le c t ric al,,0 0 7 -1 1 -0 4 1,
